high cards,.0510000
pairs, 16.2520000
two pairs, 30.5230000
three of a kinds, 13.9290000
straights, 16.3480000
flushes, 10.8830000
full houses, 10.9460000
four of a kinds, .9050000
straight flushes, .1490000
royal flushes, .0140000
