As,Ac,43
Ks,Kc,37
Qs,Qc,32
Js,Jc,28
10s,10c,25
9s,9c,23
8s,8c,20
7s,7c,20
6s,6c,17
5s,5c,16
4s,4c,15
3s,3c,15
2s,2c,14
