As,Kc,25
Ks,Qc,23
Qs,Jc,21
Js,10c,19
10s,9c,17
9s,8c,15
8s,7c,14
7s,6c,14
6s,5c,13
5s,4c,11
4s,3c,9
3s,2c,7
2s,Ac,15
