As,Kc,39
Ks,Qc,37
Qs,Jc,34
Js,10c,32
10s,9c,30
9s,8c,26
8s,7c,25
7s,6c,24
6s,5c,22
5s,4c,19
4s,3c,16
3s,2c,13
2s,Ac,27
