As,Ks,37
Ks,Qs,33
Qs,Js,31
Js,10s,30
10s,9s,27
9s,8s,25
8s,7s,23
7s,6s,23
6s,5s,21
5s,4s,19
4s,3s,17
3s,2s,14
2s,As,25
