As,Ac,40
Ks,Kc,32
Qs,Qc,29
Js,Jc,25
10s,10c,22
9s,9c,19
8s,8c,17
7s,7c,16
6s,6c,15
5s,5c,15
4s,4c,13
3s,3c,13
2s,2c,13
