As,Ac,86
Ks,Kc,82
Qs,Qc,80
Js,Jc,77
10s,10c,74
9s,9c,73
8s,8c,69
7s,7c,66
6s,6c,64
5s,5c,59
4s,4c,58
3s,3c,53
2s,2c,51
