As,Kc,28
Ks,Qc,25
Qs,Jc,24
Js,10c,23
10s,9c,20
9s,8c,18
8s,7c,17
7s,6c,16
6s,5c,15
5s,4c,12
4s,3c,10
3s,2c,8
2s,Ac,19
