As,Ac,64
Ks,Kc,60
Qs,Qc,54
Js,Jc,50
10s,10c,47
9s,9c,41
8s,8c,38
7s,7c,36
6s,6c,32
5s,5c,29
4s,4c,26
3s,3c,23
2s,2c,22
