As,Ks,23
Ks,Qs,21
Qs,Js,20
Js,10s,19
10s,9s,18
9s,8s,16
8s,7s,15
7s,6s,15
6s,5s,14
5s,4s,12
4s,3s,10
3s,2s,9
2s,As,17
