As,Ks,68
Ks,Qs,64
Qs,Js,62
Js,10s,58
10s,9s,56
9s,8s,53
8s,7s,50
7s,6s,49
6s,5s,46
5s,4s,43
4s,3s,39
3s,2s,37
2s,As,59
